node,betweenness,eigenvector,katz,pagerank,closeness,degree,clustering,in_degree_weighted,out_degree_weighted
Bella Klein,0.10468379659556128,0.07480716452057364,0.08954335107406161,0.016324680105087922,0.6265060240963856,0.46153846153846156,0.4384057971014493,7168,6740
Boris Nikolic,0.15581008044243339,0.2242690357707489,0.21596806013213948,0.02640850207334602,0.5652173913043478,0.2692307692307693,0.5054945054945055,10702,8124
Larry Summers,0.0,0.038810380733751246,0.05876757539763789,0.0069514405993261145,0.52,0.07692307692307693,0.8333333333333334,1929,859
Eva Dubin,0.038461538461538464,0.047481787499607825,0.06615220158245029,0.007960480871170376,0.5473684210526316,0.17307692307692307,0.6666666666666666,2343,2906
Peggy Siegal,0.0024509803921568627,0.06954806490370438,0.08481057604127964,0.010094619626278379,0.52,0.09615384615384616,0.9,3366,2287
Eileen Alexanderson,0.019230769230769232,0.047958695387104795,0.06666299691983436,0.008720816005429137,0.5360824742268041,0.13461538461538464,0.9047619047619048,2627,1873
Daphne Wallace,0.05902822667528551,0.05875976460534851,0.07622519127196037,0.011750617636638618,0.6046511627906976,0.34615384615384615,0.5620915032679739,4667,3720
"Farkas, Andrew L.",0.00994218200100553,0.07310999017686512,0.08785189180308342,0.010479474541227468,0.5360824742268041,0.13461538461538464,0.6666666666666666,3479,2364
David Mitchell,0.05977564102564102,0.048679067079205864,0.06712188812930679,0.008260179038012783,0.5531914893617021,0.21153846153846156,0.6363636363636364,2583,2920
Ann Rodriquez,0.0026395173453996985,0.07239480813143775,0.0873999678049826,0.011550606860796939,0.5531914893617021,0.23076923076923078,0.8333333333333334,4124,8526
Ian Osborne,0.0,0.03644838931357137,0.05677592790684755,0.0067276171927052614,0.52,0.11538461538461539,0.7333333333333333,1786,1737
Brice Gordon,0.005008798391151332,0.06538680684646969,0.08153409485168449,0.010977849784488843,0.5714285714285714,0.2692307692307693,0.8021978021978022,3598,4165
"Nowak, Martin",0.04121417797888386,0.022667135497358448,0.04508111179492451,0.005234145248673043,0.5306122448979592,0.13461538461538464,0.8571428571428571,1156,1272
Sultan Bin Sulayem,0.04484351432880844,0.04983402688573833,0.06813313744391973,0.008132195271949957,0.5416666666666666,0.19230769230769232,0.4666666666666667,2402,2109
Faith Kates,0.0435089420383538,0.061442816938482935,0.07794624774142953,0.009271868642240045,0.52,0.09615384615384616,0.9,2953,2373
Petra Nemcova,0.0,0.0006828061675071438,0.02646549909259495,0.0029011502700430373,0.5048543689320388,0.019230769230769232,0.0,32,8
