node_i,node_j,cosine,jaccard,hamming,katz_raw,katz_bin,katz_log
Ann Rodriquez,Ariane de Rothschild,0.845272,0.3125,0.792453,0.014051,0.086501,0.042
Ann Rodriquez,Bella Klein,0.780324,0.384615,0.698113,0.014879,0.284661,0.141018
Ann Rodriquez,Boris Nikolic,0.757254,0.3,0.735849,0.0448,0.099883,0.057058
Ann Rodriquez,Brad Wechsler,0.993733,0.222222,0.735849,0.010024,0.095071,0.052067
Ann Rodriquez,Brice Gordon,0.996894,0.529412,0.849057,0.015162,0.240375,0.114012
Ann Rodriquez,Cecile de Jongh,0.977631,0.5,0.830189,0.013952,0.246547,0.116531
Ann Rodriquez,Daphne Wallace,0.92509,0.5,0.811321,0.015636,0.258649,0.147029
Ann Rodriquez,Darren Indyke,0.448135,0.28125,0.566038,0.013213,0.25415,0.116375
Ann Rodriquez,David Mitchell,0.973554,0.352941,0.792453,0.011072,0.10703,0.059203
Ann Rodriquez,David Stern,0.97725,0.235294,0.754717,0.011631,0.088188,0.047714
Ann Rodriquez,Deepak Chopra,0.991096,0.266667,0.792453,0.008475,0.082772,0.044969
Ann Rodriquez,Ehud Barak,0.946905,0.105263,0.679245,0.001387,0.053974,0.025661
Ann Rodriquez,Eileen Alexanderson,0.987304,0.266667,0.792453,0.009493,0.083928,0.052202
Ann Rodriquez,Emad Hanna,0.975956,0.642857,0.90566,0.007102,0.126085,0.053339
Ann Rodriquez,Eric Roth,0.98434,0.5,0.886792,0.01437,0.089717,0.056642
Ann Rodriquez,Eva Dubin,0.989217,0.235294,0.754717,0.01111,0.119513,0.053009
Ann Rodriquez,Faith Kates,0.97514,0.307692,0.830189,0.012458,0.07297,0.046793
Ann Rodriquez,"Farkas, Andrew L.",0.994527,0.266667,0.792453,0.014217,0.073234,0.043514
Ann Rodriquez,Gary Kerney,0.992811,0.5,0.867925,0.012,0.111361,0.050801
Ann Rodriquez,Ghislaine Maxwell,0.831923,0.375,0.811321,0.010334,0.082126,0.036393
Ann Rodriquez,Ian Osborne,0.986839,0.2,0.773585,0.007834,0.049919,0.040059
Ann Rodriquez,Jean Luc Brunel,0.950261,0.357143,0.830189,0.00918,0.070841,0.038704
Ann Rodriquez,Jeffrey Epstein,0.334023,0.207547,0.207547,0.184618,0.409128,0.340501
Ann Rodriquez,Jes Staley,0.880299,0.1875,0.754717,0.01044,0.056286,0.034149
Ann Rodriquez,Joi Ito,0.974378,0.277778,0.754717,0.012625,0.095929,0.051993
Ann Rodriquez,Juan Pablo Molyneux,0.944238,0.166667,0.811321,0.000382,0.026592,0.010736
Ann Rodriquez,Karyna Shuliak,0.691943,0.392857,0.679245,0.033668,0.291095,0.167382
Ann Rodriquez,Kathy Ruemmler,0.763736,0.4375,0.830189,0.018514,0.106405,0.051408
Ann Rodriquez,Larry Summers,0.976442,0.142857,0.773585,0.006924,0.04855,0.036329
Ann Rodriquez,Larry Visoski,0.950932,0.5,0.830189,0.024565,0.236285,0.130833
Ann Rodriquez,Lawrence Krauss,0.99666,0.375,0.811321,0.008901,0.098079,0.050275
Ann Rodriquez,Lesley Groff,0.41732,0.211538,0.226415,0.111548,0.406907,0.246642
Ann Rodriquez,Melanie Spinella,0.986317,0.2,0.773585,0.017064,0.059108,0.051594
Ann Rodriquez,Michael Wolff,0.992043,0.2,0.773585,0.009173,0.056924,0.040887
Ann Rodriquez,Natalia Molotkova,0.954462,0.461538,0.867925,0.001894,0.134134,0.039961
Ann Rodriquez,Nicole Junkermann,0.995048,0.1875,0.754717,0.010336,0.064727,0.039204
Ann Rodriquez,Noam Chomsky,0.988376,0.2,0.773585,0.009205,0.067562,0.048003
Ann Rodriquez,"Nowak, Martin",0.977483,0.357143,0.830189,0.005129,0.077969,0.041685
Ann Rodriquez,Paul Morris,0.995259,0.315789,0.754717,0.007024,0.127793,0.078407
Ann Rodriquez,Peggy Siegal,0.982236,0.416667,0.867925,0.013524,0.060731,0.04494
Ann Rodriquez,Peter Mandelson,0.980834,0.133333,0.754717,0.004495,0.049333,0.030362
Ann Rodriquez,Petra Nemcova,0.06738,0.083333,0.792453,0.000112,0.015414,0.009181
Ann Rodriquez,"Pritzker, Tom",0.960863,0.176471,0.735849,0.011147,0.069526,0.037639
Ann Rodriquez,Ramsey Elkholy,0.958272,0.166667,0.811321,0.004119,0.037202,0.029507
Ann Rodriquez,Richard Joslin,0.989133,0.277778,0.754717,0.010051,0.101835,0.058787
Ann Rodriquez,Richard Kahn,0.527079,0.289474,0.490566,0.072703,0.343965,0.199223
Ann Rodriquez,Steve Hanson,0.982334,0.222222,0.735849,0.012547,0.080463,0.054055
Ann Rodriquez,Stewart Oldfield,0.991945,0.411765,0.811321,0.003805,0.123942,0.058789
Ann Rodriquez,Sultan Bin Sulayem,0.969223,0.157895,0.698113,0.010371,0.07861,0.043333
Ann Rodriquez,Tazia Smith,0.986486,0.4,0.830189,0.005327,0.112551,0.064585
Ann Rodriquez,Vahe Stepanian,0.991456,0.352941,0.792453,0.003788,0.120348,0.06872
Ann Rodriquez,Valeria Chomsky,0.988115,0.357143,0.830189,0.006438,0.083941,0.047366
Ariane de Rothschild,Bella Klein,0.860692,0.222222,0.603774,0.008014,0.126637,0.050928
Ariane de Rothschild,Boris Nikolic,0.916792,0.352941,0.792453,0.02396,0.069081,0.029509
Ariane de Rothschild,Brad Wechsler,0.882147,0.117647,0.716981,0.005152,0.056719,0.025619
Ariane de Rothschild,Brice Gordon,0.847855,0.277778,0.754717,0.008663,0.097671,0.039027
Ariane de Rothschild,Cecile de Jongh,0.909204,0.263158,0.735849,0.007497,0.10148,0.038754
Ariane de Rothschild,Daphne Wallace,0.899009,0.173913,0.641509,0.006422,0.179715,0.059989
Ariane de Rothschild,Darren Indyke,0.810304,0.225806,0.54717,0.005892,0.13457,0.045259
Ariane de Rothschild,David Mitchell,0.939572,0.176471,0.735849,0.006515,0.064398,0.028967
Ariane de Rothschild,David Stern,0.937671,0.285714,0.811321,0.007188,0.057554,0.024062
Ariane de Rothschild,Deepak Chopra,0.833509,0.142857,0.773585,0.004547,0.048629,0.022744
Ariane de Rothschild,Ehud Barak,0.946308,0.2,0.773585,0.000921,0.074814,0.017951
Ariane de Rothschild,Eileen Alexanderson,0.857531,0.142857,0.773585,0.005063,0.050149,0.026009
Ariane de Rothschild,Emad Hanna,0.920454,0.25,0.773585,0.003932,0.070775,0.025659
Ariane de Rothschild,Eric Roth,0.82693,0.363636,0.867925,0.007503,0.055473,0.026862
Ariane de Rothschild,Eva Dubin,0.908396,0.285714,0.811321,0.006617,0.057277,0.024989
Ariane de Rothschild,Faith Kates,0.884912,0.166667,0.811321,0.006746,0.041927,0.023164
Ariane de Rothschild,"Farkas, Andrew L.",0.858926,0.142857,0.773585,0.007441,0.043415,0.022006
Ariane de Rothschild,Gary Kerney,0.858923,0.2,0.773585,0.006278,0.063864,0.024304
Ariane de Rothschild,Ghislaine Maxwell,0.997169,0.1875,0.754717,0.005367,0.050099,0.018801
Ariane de Rothschild,Ian Osborne,0.827352,0.25,0.830189,0.004426,0.035605,0.021076
Ariane de Rothschild,Jean Luc Brunel,0.944513,0.230769,0.811321,0.005098,0.045833,0.020093
Ariane de Rothschild,Jeffrey Epstein,0.339391,0.150943,0.150943,0.104453,0.287247,0.190454
Ariane de Rothschild,Jes Staley,0.992597,0.230769,0.811321,0.004967,0.039559,0.017873
Ariane de Rothschild,Joi Ito,0.935624,0.428571,0.849057,0.006877,0.066263,0.02603
Ariane de Rothschild,Juan Pablo Molyneux,0.86626,0.222222,0.867925,0.000149,0.016578,0.005068
Ariane de Rothschild,Karyna Shuliak,0.801211,0.2,0.54717,0.017182,0.204719,0.061
Ariane de Rothschild,Kathy Ruemmler,0.98675,0.176471,0.735849,0.009253,0.137843,0.03561
Ariane de Rothschild,Larry Summers,0.818209,0.3,0.867925,0.003374,0.035832,0.01885
Ariane de Rothschild,Larry Visoski,0.940247,0.2,0.698113,0.01421,0.130827,0.048484
Ariane de Rothschild,Lawrence Krauss,0.860062,0.117647,0.716981,0.005383,0.054896,0.024891
Ariane de Rothschild,Lesley Groff,0.485338,0.153846,0.169811,0.07107,0.28571,0.119317
Ariane de Rothschild,Melanie Spinella,0.832554,0.25,0.830189,0.008211,0.036871,0.026435
Ariane de Rothschild,Michael Wolff,0.833691,0.25,0.830189,0.004838,0.039692,0.021375
Ariane de Rothschild,Natalia Molotkova,0.911902,0.333333,0.849057,0.001181,0.058867,0.015722
Ariane de Rothschild,Nicole Junkermann,0.84391,0.230769,0.811321,0.005463,0.080184,0.026064
Ariane de Rothschild,Noam Chomsky,0.829928,0.25,0.830189,0.004543,0.040918,0.023559
Ariane de Rothschild,"Nowak, Martin",0.883989,0.230769,0.811321,0.003002,0.046858,0.021194
Ariane de Rothschild,Paul Morris,0.844428,0.157895,0.698113,0.003773,0.075148,0.036427
Ariane de Rothschild,Peggy Siegal,0.829066,0.166667,0.811321,0.007083,0.035884,0.022975
Ariane de Rothschild,Peter Mandelson,0.845545,0.166667,0.811321,0.002546,0.032102,0.016007
Ariane de Rothschild,Petra Nemcova,0.026305,0.111111,0.849057,5e-05,0.008991,0.004555
Ariane de Rothschild,"Pritzker, Tom",0.95499,0.214286,0.792453,0.00598,0.12072,0.031329
Ariane de Rothschild,Ramsey Elkholy,0.800104,0.222222,0.867925,0.002432,0.024391,0.015587
Ariane de Rothschild,Richard Joslin,0.906655,0.176471,0.735849,0.005634,0.06232,0.028717
Ariane de Rothschild,Richard Kahn,0.634683,0.15,0.358491,0.039467,0.165812,0.072377
Ariane de Rothschild,Steve Hanson,0.923535,0.1875,0.754717,0.006606,0.052595,0.026502
Ariane de Rothschild,Stewart Oldfield,0.866125,0.166667,0.716981,0.001752,0.07133,0.024966
Ariane de Rothschild,Sultan Bin Sulayem,0.937664,0.357143,0.830189,0.005721,0.056605,0.02264
Ariane de Rothschild,Tazia Smith,0.824517,0.2,0.773585,0.003514,0.065568,0.030277
Ariane de Rothschild,Vahe Stepanian,0.829641,0.176471,0.735849,0.002302,0.070375,0.03107
Ariane de Rothschild,Valeria Chomsky,0.828114,0.333333,0.849057,0.003395,0.052769,0.023595
Bella Klein,Boris Nikolic,0.879693,0.151515,0.471698,0.024995,0.144479,0.070267
Bella Klein,Brad Wechsler,0.780193,0.259259,0.622642,0.005413,0.151994,0.06624
Bella Klein,Brice Gordon,0.813529,0.407407,0.698113,0.009167,0.316433,0.128018
Bella Klein,Cecile de Jongh,0.888051,0.392857,0.679245,0.00795,0.324964,0.119654
Bella Klein,Daphne Wallace,0.956616,0.354839,0.622642,0.009115,0.342576,0.168063
Bella Klein,Darren Indyke,0.844081,0.472222,0.641509,0.012229,0.403127,0.172151
Bella Klein,David Mitchell,0.863407,0.25,0.603774,0.006908,0.202888,0.077998
Bella Klein,David Stern,0.84988,0.178571,0.566038,0.007401,0.206198,0.071128
Bella Klein,Deepak Chopra,0.712254,0.24,0.641509,0.004807,0.200332,0.06651
Bella Klein,Ehud Barak,0.833257,0.1,0.490566,0.000924,0.083863,0.031344
Bella Klein,Eileen Alexanderson,0.718216,0.148148,0.566038,0.005337,0.127365,0.064868
Bella Klein,Emad Hanna,0.79551,0.296296,0.641509,0.0041,0.216796,0.069463
Bella Klein,Eric Roth,0.678997,0.25,0.660377,0.007888,0.13203,0.070331
Bella Klein,Eva Dubin,0.811852,0.269231,0.641509,0.006828,0.1268,0.061711
Bella Klein,Faith Kates,0.710526,0.115385,0.566038,0.007062,0.178269,0.063253
Bella Klein,"Farkas, Andrew L.",0.751415,0.291667,0.679245,0.007784,0.115981,0.053328
Bella Klein,Gary Kerney,0.738474,0.32,0.679245,0.006549,0.162956,0.061196
Bella Klein,Ghislaine Maxwell,0.838319,0.307692,0.660377,0.005604,0.126271,0.044595
Bella Klein,Ian Osborne,0.691798,0.071429,0.509434,0.004609,0.075802,0.049155
Bella Klein,Jean Luc Brunel,0.767381,0.192308,0.603774,0.005289,0.10651,0.047459
Bella Klein,Jeffrey Epstein,0.589055,0.433962,0.433962,0.107712,0.599411,0.407436
Bella Klein,Jes Staley,0.817836,0.148148,0.566038,0.005258,0.09119,0.041549
Bella Klein,Joi Ito,0.868991,0.206897,0.566038,0.007197,0.144314,0.064614
Bella Klein,Juan Pablo Molyneux,0.650968,0.083333,0.584906,0.000163,0.041453,0.01239
Bella Klein,Karyna Shuliak,0.980173,0.5,0.679245,0.026432,0.396827,0.20421
Bella Klein,Kathy Ruemmler,0.868848,0.206897,0.566038,0.009799,0.19462,0.067988
Bella Klein,Larry Summers,0.655529,0.12,0.584906,0.003584,0.075754,0.044105
Bella Klein,Larry Visoski,0.915229,0.344828,0.641509,0.016967,0.30664,0.158455
Bella Klein,Lawrence Krauss,0.790261,0.214286,0.584906,0.005573,0.179218,0.064319
Bella Klein,Lesley Groff,0.806775,0.442308,0.45283,0.095078,0.596202,0.315556
Bella Klein,Melanie Spinella,0.701685,0.111111,0.54717,0.009273,0.089154,0.063523
Bella Klein,Michael Wolff,0.713487,0.153846,0.584906,0.005104,0.087312,0.050197
Bella Klein,Natalia Molotkova,0.733661,0.24,0.641509,0.002063,0.213335,0.074891
Bella Klein,Nicole Junkermann,0.734005,0.148148,0.566038,0.005691,0.100769,0.048149
Bella Klein,Noam Chomsky,0.696659,0.153846,0.584906,0.004829,0.102915,0.059169
Bella Klein,"Nowak, Martin",0.732523,0.24,0.641509,0.003178,0.115361,0.051289
Bella Klein,Paul Morris,0.801872,0.321429,0.641509,0.004948,0.274856,0.133571
Bella Klein,Peggy Siegal,0.674161,0.115385,0.566038,0.007509,0.123267,0.059694
Bella Klein,Peter Mandelson,0.695906,0.115385,0.566038,0.002629,0.077453,0.036875
Bella Klein,Petra Nemcova,0.062747,0.041667,0.566038,5.3e-05,0.025443,0.010963
Bella Klein,"Pritzker, Tom",0.818331,0.142857,0.54717,0.00618,0.104435,0.045727
Bella Klein,Ramsey Elkholy,0.60891,0.083333,0.584906,0.0025,0.057207,0.036007
Bella Klein,Richard Joslin,0.814341,0.296296,0.641509,0.00591,0.155989,0.073763
Bella Klein,Richard Kahn,0.873315,0.525,0.641509,0.057543,0.49847,0.2624
Bella Klein,Steve Hanson,0.856785,0.259259,0.622642,0.006987,0.126461,0.066396
Bella Klein,Stewart Oldfield,0.787606,0.333333,0.660377,0.005049,0.265637,0.121258
Bella Klein,Sultan Bin Sulayem,0.889536,0.133333,0.509434,0.005994,0.193131,0.065472
Bella Klein,Tazia Smith,0.705057,0.32,0.679245,0.003895,0.249814,0.10644
Bella Klein,Vahe Stepanian,0.744717,0.296296,0.641509,0.003966,0.261558,0.130579
Bella Klein,Valeria Chomsky,0.70208,0.24,0.641509,0.00361,0.124097,0.058676
Boris Nikolic,Brad Wechsler,0.767915,0.2,0.698113,0.015791,0.070031,0.035492
Boris Nikolic,Brice Gordon,0.763643,0.217391,0.660377,0.027117,0.111095,0.0531
Boris Nikolic,Cecile de Jongh,0.834823,0.208333,0.641509,0.023332,0.115683,0.05253
Boris Nikolic,Daphne Wallace,0.858955,0.28,0.660377,0.019746,0.126839,0.063223
Boris Nikolic,Darren Indyke,0.815919,0.194444,0.45283,0.017719,0.191459,0.067168
Boris Nikolic,David Mitchell,0.842266,0.315789,0.754717,0.020424,0.081804,0.040395
Boris Nikolic,David Stern,0.841563,0.277778,0.754717,0.022675,0.071903,0.033143
Boris Nikolic,Deepak Chopra,0.707537,0.166667,0.716981,0.014044,0.05986,0.031203
Boris Nikolic,Ehud Barak,0.798231,0.277778,0.754717,0.002908,0.08611,0.023257
Boris Nikolic,Eileen Alexanderson,0.72543,0.235294,0.754717,0.015621,0.063492,0.036081
Boris Nikolic,Emad Hanna,0.78391,0.190476,0.679245,0.012203,0.082982,0.034485
Boris Nikolic,Eric Roth,0.706683,0.333333,0.811321,0.023063,0.066851,0.037049
Boris Nikolic,Eva Dubin,0.800484,0.277778,0.754717,0.020822,0.140726,0.048708
Boris Nikolic,Faith Kates,0.754294,0.266667,0.792453,0.02086,0.053822,0.032089
Boris Nikolic,"Farkas, Andrew L.",0.772064,0.166667,0.716981,0.022879,0.053547,0.030291
Boris Nikolic,Gary Kerney,0.739997,0.210526,0.716981,0.019301,0.074562,0.032491
Boris Nikolic,Ghislaine Maxwell,0.886354,0.2,0.698113,0.016478,0.06054,0.025702
Boris Nikolic,Ian Osborne,0.693944,0.25,0.773585,0.013923,0.118262,0.050326
Boris Nikolic,Jean Luc Brunel,0.804492,0.3125,0.792453,0.015839,0.091448,0.031627
Boris Nikolic,Jeffrey Epstein,0.609237,0.245283,0.245283,0.32519,0.337373,0.25157
Boris Nikolic,Jes Staley,0.88668,0.235294,0.754717,0.015029,0.123087,0.031538
Boris Nikolic,Joi Ito,0.861159,0.315789,0.754717,0.021299,0.114288,0.040077
Boris Nikolic,Juan Pablo Molyneux,0.682081,0.142857,0.773585,0.000434,0.020272,0.007244
Boris Nikolic,Karyna Shuliak,0.894435,0.242424,0.528302,0.053529,0.230157,0.089951
Boris Nikolic,Kathy Ruemmler,0.945043,0.315789,0.754717,0.02814,0.083846,0.035845
Boris Nikolic,Larry Summers,0.675379,0.2,0.773585,0.010247,0.040788,0.025913
Boris Nikolic,Larry Visoski,0.909627,0.208333,0.641509,0.044581,0.109011,0.063107
Boris Nikolic,Lawrence Krauss,0.748779,0.2,0.698113,0.016932,0.066761,0.034021
Boris Nikolic,Lesley Groff,0.702623,0.25,0.264151,0.22719,0.335597,0.170468
Boris Nikolic,Melanie Spinella,0.748591,0.111111,0.698113,0.024931,0.044578,0.036397
Boris Nikolic,Michael Wolff,0.717547,0.333333,0.811321,0.014898,0.047393,0.029767
Boris Nikolic,Natalia Molotkova,0.742202,0.235294,0.754717,0.003767,0.069159,0.022401
Boris Nikolic,Nicole Junkermann,0.736395,0.235294,0.754717,0.017004,0.127439,0.053225
Boris Nikolic,Noam Chomsky,0.706732,0.25,0.773585,0.013829,0.051016,0.032695
Boris Nikolic,"Nowak, Martin",0.731495,0.3125,0.792453,0.009403,0.059287,0.02925
Boris Nikolic,Paul Morris,0.739508,0.227273,0.679245,0.011692,0.093621,0.051121
Boris Nikolic,Peggy Siegal,0.70906,0.266667,0.792453,0.02179,0.046887,0.031653
Boris Nikolic,Peter Mandelson,0.694797,0.1875,0.754717,0.007929,0.040933,0.021853
Boris Nikolic,Petra Nemcova,0.067774,0.071429,0.754717,0.000149,0.011633,0.006396
Boris Nikolic,"Pritzker, Tom",0.845343,0.294118,0.773585,0.018432,0.131717,0.046399
Boris Nikolic,Ramsey Elkholy,0.631331,0.142857,0.773585,0.007621,0.029662,0.02124
Boris Nikolic,Richard Joslin,0.795783,0.190476,0.679245,0.017519,0.072289,0.039392
Boris Nikolic,Richard Kahn,0.845558,0.186047,0.339623,0.122861,0.231079,0.10991
Boris Nikolic,Steve Hanson,0.852298,0.263158,0.735849,0.020348,0.102704,0.039735
Boris Nikolic,Stewart Oldfield,0.739038,0.238095,0.698113,0.005305,0.088748,0.035761
